"Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","Release_Date","Genres"
"4.5","21K","4.1K","5.6K","5.5K","4.6K","3K","Feb 25, 2022","['Adventure', 'RPG']"
"4.4","35K","3.1K","5.6K","3K","5.1K","3K","Mar 03, 2017","['Adventure', 'Puzzle']"
"4.3","25K","3.5K","7.3K","4K","3.2K","2.1K","Dec 07, 2018","['Adventure', 'Brawler', 'Indie', 'RPG']"
"4.4","25K","2.7K","9.6K","2.6K","3.4K","2.1K","Feb 24, 2017","['Adventure', 'Indie', 'Platform']"
"4.2","32K","728","5.7K","2.1K","3.9K","2.5K","Sep 15, 2015","['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"
"4.3","38K","2.1K","1.3K","265","2.6K","2.7K","Nov 18, 2011","['Adventure', 'Simulator']"
"4.1","8.7K","1.2K","5.3K","4.3K","1.8K","1.4K","Dec 25, 2020","['Adventure', 'Indie', 'RPG', 'Turn Based Strategy']"
"4.6","4.3K","4.6K","3K","5.2K","1.9K","1.1K","May 12, 2023","['Adventure']"
"4.3","20K","1.3K","7.2K","4K","3.2K","1.4K","Feb 23, 2017","['Brawler', 'RPG']"
"4.4","15K","2.6K","6.1K","3.5K","3.1K","1.7K","Oct 31, 2019","['Adventure', 'RPG', 'Turn Based Strategy']"
"4.2","10K","791","4.1K","3.7K","2.3K","1.4K","Oct 07, 2021","['Adventure', 'Platform']"
"4.4","34K","556","4.7K","1.4K","3.3K","1.9K","Apr 18, 2011","['Adventure', 'Platform', 'Puzzle', 'Shooter']"
"4.2","25K","1.2K","5.6K","2.9K","3.3K","1.7K","Apr 20, 2018","['Adventure', 'Brawler', 'RPG']"
"4.3","4.7K","925","2.5K","2.8K","1.3K","1.1K","Jan 25, 2023","['Adventure', 'Brawler', 'Music', 'Platform']"
"4.2","23K","1.4K","6.7K","2.2K","3.2K","1.9K","Jan 25, 2018","['Adventure', 'Indie', 'Platform']"
"4.5","20K","1.2K","6.5K","3.8K","3.8K","1.6K","Mar 24, 2015","['Adventure', 'RPG']"
"3.7","9.7K","854","3.2K","3.9K","1.7K","1.4K","Jul 19, 2022","['Adventure', 'Indie']"
"4.4","17K","2K","7.4K","2.2K","3.1K","1.6K","Mar 12, 2015","['Adventure', 'Brawler', 'RPG', 'Simulator']"
"4.4","22K","2K","6.6K","3.3K","3.5K","2K","Oct 26, 2018","['Adventure', 'RPG', 'Shooter']"
