,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Release_Date,Genres,Release Year
0,4.5,21000,4100,5600,5500,4600,3000,"Feb 25, 2022","[""'Adventure'"", ""'RPG'""]",2022
1,4.4,35000,3100,5600,3000,5100,3000,"Mar 03, 2017","[""'Adventure'"", ""'Puzzle'""]",2017
2,4.3,25000,3500,7300,4000,3200,2100,"Dec 07, 2018","[""'Adventure'"", ""'Brawler'"", ""'Indie'"", ""'RPG'""]",2018
3,4.4,25000,2700,9600,2600,3400,2100,"Feb 24, 2017","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2017
4,4.2,32000,728,5700,2100,3900,2500,"Sep 15, 2015","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Turn Based Strategy'""]",2015
5,4.3,38000,2100,1300,265,2600,2700,"Nov 18, 2011","[""'Adventure'"", ""'Simulator'""]",2011
6,4.1,8700,1200,5300,4300,1800,1400,"Dec 25, 2020","[""'Adventure'"", ""'Indie'"", ""'RPG'"", ""'Turn Based Strategy'""]",2020
7,4.6,4300,4600,3000,5200,1900,1100,"May 12, 2023","[""'Adventure'""]",2023
8,4.3,20000,1300,7200,4000,3200,1400,"Feb 23, 2017","[""'Brawler'"", ""'RPG'""]",2017
9,4.4,15000,2600,6100,3500,3100,1700,"Oct 31, 2019","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2019
10,4.2,10000,791,4100,3700,2300,1400,"Oct 07, 2021","[""'Adventure'"", ""'Platform'""]",2021
11,4.4,34000,556,4700,1400,3300,1900,"Apr 18, 2011","[""'Adventure'"", ""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2011
12,4.2,25000,1200,5600,2900,3300,1700,"Apr 20, 2018","[""'Adventure'"", ""'Brawler'"", ""'RPG'""]",2018
13,4.3,4700,925,2500,2800,1300,1100,"Jan 25, 2023","[""'Adventure'"", ""'Brawler'"", ""'Music'"", ""'Platform'""]",2023
14,4.2,23000,1400,6700,2200,3200,1900,"Jan 25, 2018","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2018
15,4.5,20000,1200,6500,3800,3800,1600,"Mar 24, 2015","[""'Adventure'"", ""'RPG'""]",2015
16,3.7,9700,854,3200,3900,1700,1400,"Jul 19, 2022","[""'Adventure'"", ""'Indie'""]",2022
17,4.4,17000,2000,7400,2200,3100,1600,"Mar 12, 2015","[""'Adventure'"", ""'Brawler'"", ""'RPG'"", ""'Simulator'""]",2015
18,4.4,22000,2000,6600,3300,3500,2000,"Oct 26, 2018","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2018
19,4.2,29000,824,3500,2300,3400,2000,"Oct 27, 2017","[""'Adventure'"", ""'Platform'""]",2017
20,4.1,32000,281,3200,1200,2300,1600,"Oct 10, 2007","[""'Platform'"", ""'Puzzle'"", ""'Shooter'""]",2007
21,3.8,35000,958,3700,757,2400,1700,"Sep 17, 2013","[""'Adventure'"", ""'Shooter'""]",2013
22,3.4,16000,1700,5700,3300,1700,1600,"Dec 09, 2020","[""'Adventure'"", ""'RPG'"", ""'Shooter'""]",2020
23,4.4,7100,857,2800,3900,2000,1200,"Nov 09, 2022","[""'Adventure'"", ""'Brawler'""]",2022
24,4.1,25000,692,3400,2400,2900,1700,"Sep 07, 2018","[""'Adventure'"", ""'Brawler'""]",2018
25,4.6,7300,1300,6000,3100,1300,874,"Mar 30, 2021","[""'Adventure'"", ""'Indie'"", ""'RPG'""]",2021
26,4.2,22000,959,5000,2500,2800,1400,"Mar 24, 2016","[""'Adventure'"", ""'RPG'""]",2016
27,4.4,4700,821,2700,2500,1700,815,"Jul 29, 2022","[""'Adventure'"", ""'RPG'""]",2022
28,4.1,24000,522,2900,881,2900,1400,"Jun 23, 1996","[""'Adventure'"", ""'Platform'""]",1996
29,4.1,21000,1300,5300,2900,2100,1400,"Sep 29, 2017","[""'Arcade'"", ""'Indie'"", ""'Platform'"", ""'Shooter'""]",2017
30,4.1,7000,1000,2900,3500,1800,1000,"Mar 25, 2022","[""'Adventure'"", ""'Platform'""]",2022
31,4.1,29000,1300,1300,907,2800,1800,"Dec 07, 2018","[""'Fighting'"", ""'Platform'""]",2018
32,4.2,7600,974,4900,4100,1700,784,"Apr 22, 2021","[""'Adventure'"", ""'RPG'""]",2021
33,4.3,19000,737,4300,2200,3100,1300,"Jan 25, 2019","[""'Adventure'"", ""'Shooter'""]",2019
34,4.2,2900,477,2600,2500,1000,578,"Oct 27, 2022","[""'Adventure'"", ""'Indie'""]",2022
35,2.6,16000,2900,1400,305,740,1600,"Sep 28, 2020","[""'Adventure'"", ""'RPG'""]",2020
36,4.2,14000,1500,5800,2400,2100,1200,"Jun 15, 2012","[""'Adventure'"", ""'RPG'"", ""'Visual Novel'""]",2012
37,3.9,12000,405,3300,3200,2200,1100,"May 06, 2021","[""'Adventure'"", ""'Shooter'""]",2021
38,4.6,9100,736,5700,3600,2000,1100,"May 28, 2019","[""'Adventure'"", ""'Indie'"", ""'Puzzle'"", ""'Simulator'""]",2019
39,4.3,18000,878,6000,1600,2300,1200,"Oct 19, 2010","[""'RPG'"", ""'Shooter'""]",2010
40,4.3,24000,546,3600,1300,3100,1200,"Nov 01, 2007","[""'Adventure'"", ""'Platform'""]",2007
41,4.0,21000,608,4700,1600,2000,1200,"May 12, 2016","[""'Puzzle'"", ""'Shooter'""]",2016
42,4.1,24000,2300,4200,1300,2000,1400,"Feb 26, 2016","[""'Indie'"", ""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2016
43,4.5,9900,342,3400,2400,2600,841,"Sep 24, 2001","[""'Adventure'"", ""'Puzzle'""]",2001
44,4.1,15000,551,3300,2900,2900,1500,"Jun 19, 2020","[""'Adventure'"", ""'Shooter'""]",2020
45,4.3,19000,1300,7100,1800,2300,944,"May 19, 2015","[""'Adventure'"", ""'RPG'""]",2015
46,4.3,15000,411,3200,1300,2700,880,"Jan 11, 2005","[""'Shooter'""]",2005
47,4.2,14000,819,5500,2800,2200,1200,"Mar 19, 2020","[""'Shooter'""]",2020
48,3.9,14000,675,5700,2500,1900,812,"Oct 29, 2009","[""'Brawler'"", ""'Shooter'""]",2009
49,4.4,2200,428,1400,2000,624,630,"Jan 26, 2023","[""'Indie'"", ""'Platform'""]",2023
50,3.8,26000,689,3500,1200,2000,1200,"Nov 10, 2011","[""'Adventure'"", ""'RPG'""]",2011
51,4.3,14000,586,4800,2700,2200,1000,"Mar 08, 2019","[""'Adventure'"", ""'Brawler'""]",2019
52,4.3,20000,543,3500,1600,2600,958,"Nov 21, 1998","[""'Adventure'"", ""'RPG'""]",1998
53,2.6,9000,1200,357,176,595,1100,"Oct 04, 2022","[""'Shooter'""]",2022
54,4.1,18000,661,3100,1800,2000,1200,"Sep 15, 2016","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2016
55,3.8,4700,1000,3900,2800,1100,641,"Nov 12, 2021","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2021
56,4.1,13000,998,4800,2500,2300,959,"Apr 10, 2020","[""'Adventure'"", ""'RPG'""]",2020
57,4.1,3700,562,2200,2700,1000,644,"Jun 16, 2022","[""'Indie'"", ""'Platform'"", ""'Shooter'"", ""'Visual Novel'""]",2022
58,2.8,20000,1100,546,54,967,1400,"Jul 25, 2017","[""'Adventure'"", ""'RPG'"", ""'Shooter'"", ""'Strategy'""]",2017
59,4.3,16000,479,2900,1600,2400,857,"Sep 22, 2011","[""'Adventure'"", ""'RPG'""]",2011
60,4.2,14000,340,3500,1900,2300,795,"Sep 03, 1998","[""'Adventure'"", ""'Puzzle'"", ""'Tactical'""]",1998
61,3.7,8100,1000,899,469,987,878,"Dec 17, 2021","[""'Arcade'"", ""'Indie'"", ""'RPG'""]",2021
62,3.7,16000,904,4400,1500,1700,1200,"Nov 15, 2019","[""'Adventure'""]",2019
63,4.1,6500,611,2800,2600,1200,790,"Oct 19, 2021","[""'Adventure'"", ""'Card & Board Game'"", ""'Indie'"", ""'Puzzle'"", ""'Strategy'""]",2021
64,4.0,20000,406,4700,1400,2100,744,"Aug 21, 2007","[""'Adventure'"", ""'Puzzle'"", ""'RPG'"", ""'Shooter'""]",2007
65,3.9,4200,527,3000,3100,1000,582,"Mar 16, 2022","[""'Adventure'"", ""'Indie'"", ""'Puzzle'"", ""'RPG'""]",2022
66,3.0,19000,681,693,276,993,1100,"Aug 04, 2020","[""'Indie'"", ""'Platform'"", ""'Sport'""]",2020
67,3.5,20000,236,4900,1100,1700,928,"Feb 26, 2013","[""'Adventure'"", ""'Shooter'""]",2013
68,3.9,12000,448,3300,3200,1900,1200,"Nov 12, 2020","[""'Adventure'"", ""'Brawler'""]",2020
69,4.3,6900,939,5600,3100,1900,741,"Jan 16, 2020","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",2020
70,4.2,9700,1100,2900,2400,1500,855,"Mar 25, 2021","[""'Adventure'"", ""'Platform'"", ""'Puzzle'""]",2021
71,4.5,10000,569,5500,2400,2200,520,"Mar 11, 1995","[""'Adventure'"", ""'RPG'""]",1995
72,3.6,23000,1900,1500,1200,1800,1600,"Mar 19, 2020","[""'Simulator'""]",2020
73,4.2,20000,252,2000,524,2400,924,"Nov 21, 1990","[""'Adventure'"", ""'Platform'""]",1990
74,4.4,11000,172,3100,1600,2100,666,"Nov 13, 2001","[""'Adventure'""]",2001
75,4.4,14000,385,4600,2100,2600,743,"Apr 27, 2000","[""'Adventure'""]",2000
76,3.9,16000,391,3700,1500,2200,1000,"Jan 24, 2017","[""'Adventure'"", ""'Puzzle'"", ""'Shooter'""]",2017
77,4.3,13000,876,3100,1800,1600,944,"May 23, 2018","[""'Adventure'"", ""'RPG'""]",2018
78,3.5,20000,75,839,263,1700,983,"Sep 13, 1985","[""'Adventure'"", ""'Platform'""]",1985
79,4.2,19000,249,2400,1700,2400,815,"Jun 14, 2013","[""'Adventure'"", ""'Shooter'""]",2013
80,4.0,21000,797,2600,687,1400,1200,"May 16, 2011","[""'Adventure'"", ""'Indie'"", ""'Platform'"", ""'RPG'"", ""'Simulator'"", ""'Strategy'""]",2011
81,4.4,10000,346,3900,1900,2100,714,"Mar 20, 1997","[""'Adventure'"", ""'Platform'"", ""'RPG'""]",1997
82,4.2,10000,653,5500,2000,2100,723,"Aug 27, 1994","[""'Adventure'"", ""'RPG'"", ""'Turn Based Strategy'""]",1994
83,3.8,16000,596,5200,1400,1700,922,"Sep 01, 2015","[""'Adventure'"", ""'Shooter'"", ""'Tactical'""]",2015
84,4.3,12000,331,3400,999,2500,843,"Mar 19, 1994","[""'Adventure'"", ""'Platform'"", ""'Shooter'""]",1994
85,4.1,21000,310,2700,846,1800,765,"Oct 26, 2004","[""'Adventure'"", ""'Racing'"", ""'Shooter'""]",2004
86,4.0,22000,840,914,709,1800,988,"Apr 28, 2017","[""'Arcade'"", ""'Racing'""]",2017
87,3.5,12000,322,2900,1200,1400,735,"Aug 23, 2001","[""'Brawler'""]",2001
